Method,scenario,Response,Request
eth_estimateGas,Proper request,"[{""error"":{""code"":3,""data"":""0x"",""message"":""execution reverted""},""id"":1,""jsonrpc"":""2.0""}]","{""jsonrpc"":""2.0"",""id"":1,""method"":""eth_estimateGas"",""params"":[{""data"":""0x6057361d0002c6c8f4b6852b7fe72b4cbf8d304a8b4f8b1eec216b77e1284cc4"",""from"":""0x51E3B84966c042C278dEb61564C106B6b82aF792"",""to"":""0xcBfa98786edf0BE78324F4C0e7f06926b7F8448A""}]}"
eth_estimateGas,Invalid contract,"[{""id"":3,""jsonrpc"":""2.0"",""result"":""0x5839""}]","{""jsonrpc"":""2.0"",""id"":3,""method"":""eth_estimateGas"",""params"":[{""data"":""0x6057361d0002c6c8f4b6852b7fe72b4cbf8d304a8b4f8b1eec216b77e1284cc4"",""from"":""0x51E3B84966c042C278dEb61564C106B6b82aF792"",""to"":""0x0baEAd25fe0346B76C73e84c083bb503c14309F1""}]}"
eth_estimateGas,Invalid params types,"[{""error"":{""code"":-32602,""message"":""invalid argument 0: json: cannot unmarshal string into Go value of type ethapi.TransactionArgs""},""id"":4,""jsonrpc"":""2.0""}]","{""jsonrpc"":""2.0"",""id"":4,""method"":""eth_estimateGas"",""params"":[""latest""]}"
eth_wrongEstimateGas,Incorrect method name,"[{""error"":{""code"":-32601,""message"":""the method eth_wrongEstimateGas does not exist/is not available""},""id"":5,""jsonrpc"":""2.0""}]","{""jsonrpc"":""2.0"",""id"":5,""method"":""eth_wrongEstimateGas"",""params"":[{""data"":""0x6057361d0002c6c8f4b6852b7fe72b4cbf8d304a8b4f8b1eec216b77e1284cc4"",""from"":""0x51E3B84966c042C278dEb61564C106B6b82aF792"",""to"":""0xcBfa98786edf0BE78324F4C0e7f06926b7F8448A""}]}"
eth_estimateGas,Invalid 1st argument,"[{""error"":{""code"":-32602,""message"":""invalid argument 0: hex string has length 4, want 40 for common.Address""},""id"":6,""jsonrpc"":""2.0""}]","{""jsonrpc"":""2.0"",""id"":6,""method"":""eth_estimateGas"",""params"":[{""to"":""0x1234""}]}"
eth_estimateGas,Invalid data field,"[{""error"":{""code"":-32602,""message"":""invalid argument 0: json: cannot unmarshal invalid hex string into Go struct field TransactionArgs.data of type hexutil.Bytes""},""id"":7,""jsonrpc"":""2.0""}]","{""jsonrpc"":""2.0"",""id"":7,""method"":""eth_estimateGas"",""params"":[{""data"":""0x123invalid"",""to"":""0x742d35Cc6634C0532925a3b844Bc454e4438f44e""}]}"
eth_estimateGas,Missing from field,"[{""id"":8,""jsonrpc"":""2.0"",""result"":""0x534e""}]","{""jsonrpc"":""2.0"",""id"":8,""method"":""eth_estimateGas"",""params"":[{""data"":""0x12345678"",""to"":""0x742d35Cc6634C0532925a3b844Bc454e4438f44e""}]}"
eth_sendRawTransaction,Proper request,"[{""id"":1,""jsonrpc"":""2.0"",""result"":""0xac6235c6fa65c7bf9e5803e174009c130f7becee79db0e25589022115091ece3""}]","[{""jsonrpc"":""2.0"",""id"":1,""method"":""eth_sendRawTransaction"",""params"":[""0x02f89182053903847735940085026f274f8982b30b94cbfa98786edf0be78324f4c0e7f06926b7f8448a80a46057361d0000000000000000000000000000000000000000000000000000000000000014c001a050f46dac874b57322ab8418e6668d218242047c4ce455d6d97baf8ae23897109a048d43346f51535a7e9554eb6d0676383d593088160bd592a82ed384e3dcc05b8""]}]"
eth_wrongSendRawTransaction,UseInvalidFunction,"[{""error"":{""code"":-32601,""message"":""the method eth_wrongSendRawTransaction does not exist/is not available""},""id"":3,""jsonrpc"":""2.0""}]","[{""jsonrpc"":""2.0"",""id"":3,""method"":""eth_wrongSendRawTransaction"",""params"":[""0x02f89182053904847735940085026becf5af82652794cbfa98786edf0be78324f4c0e7f06926b7f8448a80a4f53710930000000000000000000000000000000000000000000000000000000000000014c080a0abf16787639bde72a8efedf2226ef731e03fb952fb707f4c369a225703e98407a056dc76c3feb64a3e3c28a5c1a28e05ec417db16afed23a82d0917206f626d13d""]}]"
eth_sendRawTransaction,NONCE_TOO_LOW,"[{""error"":{""code"":-32000,""message"":""nonce too low: next nonce 4, tx nonce 0""},""id"":4,""jsonrpc"":""2.0""}]","[{""jsonrpc"":""2.0"",""id"":4,""method"":""eth_sendRawTransaction"",""params"":[""0x02f89182053980847735940085026becf5af82652794cbfa98786edf0be78324f4c0e7f06926b7f8448a80a46057361d0000000000000000000000000000000000000000000000000000000000000014c080a0f76531584bb23b3c4738ba2734e5f51b3d5f4a3199f0df577bb9e9d99524a09da07182654d3358245df1c8c35c282fbeebe24dcb79ec084a160407206c43f71cee""]}]"
